id,position
820,Undergraduate Teaching Assistant
821,Research Project Aide
822,Technology Analyst
823,President
824,Treasurer
825,Software Engineering Intern
826,Google Cloud Platform Student Innovator
827,Workplace Operations Process & Systems Intern
828,Director of Lab Operations and Safety
829,Director of Field Construction
830,Director of Sponsorship
831,Director of Marketing
832,Executive Director
833,Data Analyst
834,Computer Science Teaching Assistant
835,Helpdesk Support
836,Mathematics Research Assistant
837,Web Development Intern
838,Administrative Assistant
839,Foundational Applications - Software Engineering Intern
840,2016 DECA Scholar
841,Internal Systems - Software Engineering Intern
842,Data Quality Analyst Intern
843,Fellow & Senior Member
844,BOLD Symposium Scholar
845,Director and Computer Technician Lead
846,Information Systems Intern
847,Mozilla Ambassador
848,PC/Hardware Support Intern
849,Fellowship/Shadowship Student
850,Freelancer
851,Software Engineer
852,Consultant (Professional Services)
853,Consultant (Software Development)
854,Senior Programmer Analyst
855,Project Leader (FX Orders Web Application)
856,Project Leader (Derivatives)
857,Senior Software Engineer
858,Associate Software Engineer
859,Teaching Consultant
860,Head Bartender
861,Assistant Manager
862,Front Desk Agent / Concierge
863,IT Technician
864,Lead Software Engineer
865,Software Engineer
866,Teaching Assistant
867,Intern Engineer
868,Software Engineer
869,Software Developer summer intern
870,Software Engineering Intern
871,"CEO, Software Engineer, Holistic Health Practitioner"
872,Holistic Healer
873,Software Engineer
874,Sales Director
875,CMO
876,Legal Assistant (Law Firm)
877,Intern
878,Office Manager
879,Sales Support Administrative Assistant & Marketing Liason
880,Production Assistant
881,File Clerk
882,Administrator
883,Web Developer
884,Cybersecurity Tech Fellow
885,Mentee
886,Software Engineer Intern
887,Computer Science Tutor
888,Mentee
889,Data Science Intern
890,Software Engineer Intern
891,Web Development Fellow
892,Teacher's Assistant
893,Head Programmer
894,Graduate Research Assistant
895,Software Engineer Intern
896,Undergraduate Research Assistant
897,Summer Research Intern
898,Machine Learning Intern
899,Software Engineer Intern
900,Lead UI Developer
901,Senior Consultant
902,Consultant
903,Consultant
904,Consultant
905,Consultant
906,Consultant
907,Software Engineer
908,Associate
909,Technology Analyst
910,Summer Technology Analyst
911,Software Padawan
912,Engineering Intern
913,Senior TA
914,Information Technology Advisor
915,Game Art and Design Intern
916,Leadercorp
917,DevOps Automation Engineer I
918,Volunteer Math Tutor
919,Information Security Engineer
920,Software Engineer
921,Cyber DevOps Engineer
922,Inventory Manager
923,SOC Developer
924,Software Developer
925,Team Leader
926,Pharmaceutical Technician
927,Software Test Engineer
928,Associate Software Test Engineer
929,Summer Associate
930,Clarifai Champion
931,Peer Advisor
932,Student Assistant
933,Software Evaluation Intern
934,DJ
935,Summer Associate
936,Coaching Program Intern
937,Busser
938,Software Engineer
939,Software Developer
940,Application Developer
941,Research Assistant
942,Tech Support
943,Tutor Counselor
944,Principal Instructor/TA
945,Software Engineer III
946,Software Developer
947,iOS Software Developer
948,Software Developer
949,Chief of Supply and IT Department
950,Manager
951,Software Engineer
952,Graduate Assistant
953,International Trade and Finance Internship
954,Research Assistant
955,Associate Software Engineer
956,Full Stack Web Development Fellow
957,Barista
958,Teaching Assistant
959,Cavasser/Team Leader
960,Data Entry
961,IoT - M2M Prototype Intern
962,Web Developer Intern
963,Software Engineering Analyst
964,Software Engineer
965,Data Scientist
966,Data Science Intern
967,"Undergraduate Researcher - Decisions, Risk, and Optimization Department"
968,Software Engineering Intern - Analytics
969,Software Engineering Intern - Analytics
970,Software Engineer
971,Senior Software Engineer
972,Software Enginner
973,Senior Unix Consultant
974,Tactical Information Coordinator
975,Software Engineer II
976,Software Engineer I
977,College Assistant
978,Vice President and Founding Member
979,Co-Founder
980,Cohort Spring 2017
